Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Cauli Local(Jyapu),4,Shrawan,kg,70.0,120.0,92.5,14
Cauli Local(Jyapu),5,Bhadra,kg,90.0,120.0,100.95,7
Celery,1,Baisakh,kg,120.0,220.0,149.78,31
Celery,2,Jestha,kg,100.0,200.0,143.93,32
Celery,3,Asar,kg,100.0,150.0,131.13,31
Celery,4,Shrawan,kg,120.0,300.0,151.45,31
Celery,5,Bhadra,kg,220.0,500.0,298.0,30
Celery,6,Ashwin,kg,300.0,400.0,340.0,10
Chilli Dry,1,Baisakh,kg,440.0,520.0,468.98,31
Chilli Dry,2,Jestha,kg,440.0,480.0,465.0,32
Chilli Dry,3,Asar,kg,450.0,500.0,469.25,31
Chilli Dry,4,Shrawan,kg,450.0,500.0,471.3,32
Chilli Dry,5,Bhadra,kg,450.0,500.0,476.07,31
Chilli Dry,6,Ashwin,kg,450.0,500.0,475.76,11
Chilli Green,1,Baisakh,kg,50.0,150.0,77.99,31
Chilli Green,2,Jestha,kg,40.0,100.0,71.96,32
Chilli Green,3,Asar,kg,50.0,300.0,127.77,31
Chilli Green,4,Shrawan,kg,50.0,190.0,109.05,32
Chilli Green,5,Bhadra,kg,60.0,150.0,85.67,31
Chilli Green,6,Ashwin,kg,50.0,100.0,76.49,11
Chilli Green(Akbare),1,Baisakh,kg,250.0,400.0,283.06,31
Chilli Green(Akbare),2,Jestha,kg,150.0,400.0,269.66,32
Chilli Green(Akbare),3,Asar,kg,120.0,500.0,229.67,30
Chilli Green(Akbare),4,Shrawan,kg,200.0,400.0,297.81,32
Chilli Green(Akbare),5,Bhadra,kg,150.0,350.0,226.83,31
Chilli Green(Akbare),6,Ashwin,kg,120.0,200.0,160.3,11
Chilli Green(Bullet),1,Baisakh,kg,50.0,140.0,75.16,31
Chilli Green(Bullet),2,Jestha,kg,50.0,140.0,85.61,32
Chilli Green(Bullet),3,Asar,kg,50.0,300.0,136.4,31
Chilli Green(Bullet),4,Shrawan,kg,50.0,200.0,119.59,32
Chilli Green(Bullet),5,Bhadra,kg,70.0,170.0,102.18,31
Chilli Green(Bullet),6,Ashwin,kg,60.0,120.0,93.49,11
Chilli Green(Machhe),1,Baisakh,kg,40.0,90.0,76.51,31
Chilli Green(Machhe),2,Jestha,kg,25.0,100.0,47.16,32
Chilli Green(Machhe),3,Asar,kg,30.0,80.0,48.07,31
Chilli Green(Machhe),4,Shrawan,kg,40.0,100.0,53.92,32
Chilli Green(Machhe),5,Bhadra,kg,40.0,90.0,59.63,31
Chilli Green(Machhe),6,Ashwin,kg,50.0,90.0,72.43,11
Christophine,1,Baisakh,kg,30.0,55.0,38.97,24
Christophine,2,Jestha,kg,40.0,80.0,56.09,20
Christophine,3,Asar,kg,30.0,80.0,59.01,31
Christophine,4,Shrawan,kg,50.0,80.0,64.61,30
Christophine,5,Bhadra,kg,15.0,80.0,41.4,31
Christophine,6,Ashwin,kg,8.0,20.0,13.21,11
Clive Dry,1,Baisakh,kg,80.0,200.0,175.78,30
Clive Dry,2,Jestha,kg,80.0,140.0,114.06,32
Clive Dry,3,Asar,kg,120.0,160.0,136.67,30
Clive Dry,4,Shrawan,kg,130.0,250.0,205.22,30
Clive Dry,5,Bhadra,kg,180.0,220.0,209.46,31
Clive Dry,6,Ashwin,kg,200.0,220.0,210.0,11
Clive Green,1,Baisakh,kg,40.0,100.0,67.58,31
Clive Green,2,Jestha,kg,70.0,100.0,86.72,30
Clive Green,3,Asar,kg,90.0,100.0,95.0,2
Clive Green,5,Bhadra,kg,140.0,200.0,155.56,3
Clive Green,6,Ashwin,kg,90.0,100.0,95.0,1
Coriander Green,1,Baisakh,kg,30.0,130.0,50.31,31
Coriander Green,2,Jestha,kg,50.0,400.0,184.06,32
Coriander Green,3,Asar,kg,80.0,300.0,173.5,31
Coriander Green,4,Shrawan,kg,50.0,450.0,145.72,32
Coriander Green,5,Bhadra,kg,80.0,450.0,180.38,31
Coriander Green,6,Ashwin,kg,50.0,200.0,90.55,11
Cow pea(Long),1,Baisakh,kg,40.0,100.0,66.99,31
Cow pea(Long),2,Jestha,kg,25.0,100.0,53.78,32
Cow pea(Long),3,Asar,kg,30.0,140.0,92.61,31
Cow pea(Long),4,Shrawan,kg,40.0,120.0,56.44,32
Cow pea(Long),5,Bhadra,kg,50.0,120.0,81.09,31
Cow pea(Long),6,Ashwin,kg,40.0,100.0,67.82,11
Cowpea(Short),1,Baisakh,kg,80.0,120.0,92.5,14
Cowpea(Short),2,Jestha,kg,40.0,90.0,59.79,31
Cowpea(Short),3,Asar,kg,40.0,110.0,79.11,28
Cowpea(Short),4,Shrawan,kg,40.0,90.0,64.43,32
Cowpea(Short),5,Bhadra,kg,70.0,110.0,89.64,23
Cowpea(Short),6,Ashwin,kg,70.0,90.0,84.85,11
Cress Leaf,1,Baisakh,kg,70.0,150.0,105.27,31
Cress Leaf,2,Jestha,kg,90.0,130.0,110.21,32
Cress Leaf,3,Asar,kg,100.0,120.0,106.11,6
Cucumber(Hybrid),1,Baisakh,kg,40.0,90.0,59.89,31
Cucumber(Hybrid),2,Jestha,kg,30.0,80.0,55.36,32
Cucumber(Hybrid),3,Asar,kg,20.0,70.0,40.04,31
Cucumber(Hybrid),4,Shrawan,kg,10.0,40.0,20.34,32
Cucumber(Hybrid),5,Bhadra,kg,30.0,100.0,57.4,29
Cucumber(Hybrid),6,Ashwin,kg,25.0,80.0,48.23,11
Cucumber(Local),1,Baisakh,kg,80.0,140.0,106.68,31
Cucumber(Local),2,Jestha,kg,60.0,150.0,103.8,32
Cucumber(Local),3,Asar,kg,60.0,130.0,88.0,31
Cucumber(Local),4,Shrawan,kg,30.0,100.0,55.4,32
Cucumber(Local),5,Bhadra,kg,60.0,150.0,95.46,31
Cucumber(Local),6,Ashwin,kg,60.0,120.0,80.0,11
Drumstick,1,Baisakh,kg,50.0,100.0,71.94,31
Drumstick,2,Jestha,kg,60.0,100.0,76.46,32
Drumstick,3,Asar,kg,70.0,180.0,116.25,8
Drumstick,4,Shrawan,kg,200.0,250.0,227.67,15
Drumstick,5,Bhadra,kg,180.0,220.0,193.41,22
Drumstick,6,Ashwin,kg,180.0,200.0,190.0,1
Fennel Leaf,1,Baisakh,kg,70.0,150.0,99.46,31
Fennel Leaf,2,Jestha,kg,90.0,120.0,109.64,32
Fennel Leaf,3,Asar,kg,100.0,120.0,106.67,6
Fenugreek Leaf,1,Baisakh,kg,70.0,150.0,100.11,31
Fenugreek Leaf,2,Jestha,kg,90.0,120.0,109.95,32
Fenugreek Leaf,3,Asar,kg,100.0,120.0,107.5,6
Fish Fresh(Bachuwa),1,Baisakh,kg,260.0,300.0,274.68,31
Fish Fresh(Bachuwa),2,Jestha,kg,240.0,300.0,271.25,32
Fish Fresh(Bachuwa),3,Asar,kg,240.0,260.0,249.92,31
Fish Fresh(Bachuwa),4,Shrawan,kg,230.0,260.0,243.44,32
Fish Fresh(Bachuwa),5,Bhadra,kg,230.0,400.0,253.82,31
Fish Fresh(Bachuwa),6,Ashwin,kg,270.0,320.0,292.42,11
Fish Fresh(Chhadi),1,Baisakh,kg,230.0,300.0,267.31,31
Fish Fresh(Chhadi),2,Jestha,kg,230.0,300.0,261.67,32
Fish Fresh(Chhadi),3,Asar,kg,230.0,260.0,249.68,31
Fish Fresh(Chhadi),4,Shrawan,kg,230.0,260.0,242.81,32
Fish Fresh(Chhadi),5,Bhadra,kg,230.0,350.0,245.54,31
Fish Fresh(Chhadi),6,Ashwin,kg,240.0,300.0,263.64,11
Fish Fresh(Mungari),1,Baisakh,kg,280.0,330.0,312.9,31
Fish Fresh(Mungari),2,Jestha,kg,300.0,350.0,322.19,32
Fish Fresh(Mungari),3,Asar,kg,240.0,360.0,326.29,31
Fish Fresh(Mungari),4,Shrawan,kg,280.0,330.0,300.84,32
Fish Fresh(Mungari),5,Bhadra,kg,235.0,350.0,281.99,31
Fish Fresh(Mungari),6,Ashwin,kg,250.0,320.0,289.24,11
Fish Fresh(Rahu),1,Baisakh,kg,330.0,360.0,343.63,31
Fish Fresh(Rahu),2,Jestha,kg,300.0,350.0,335.1,32
Fish Fresh(Rahu),3,Asar,kg,310.0,330.0,321.46,31
Fish Fresh(Rahu),4,Shrawan,kg,305.0,330.0,313.99,32
Fish Fresh(Rahu),5,Bhadra,kg,305.0,450.0,336.48,31
Fish Fresh(Rahu),6,Ashwin,kg,370.0,420.0,394.85,11
French Bean(Hybrid),1,Baisakh,kg,25.0,120.0,59.23,31
French Bean(Hybrid),2,Jestha,kg,30.0,100.0,68.01,32
French Bean(Hybrid),3,Asar,kg,30.0,140.0,93.18,31
French Bean(Hybrid),4,Shrawan,kg,25.0,90.0,50.58,32
French Bean(Hybrid),5,Bhadra,kg,40.0,130.0,82.37,31
French Bean(Hybrid),6,Ashwin,kg,40.0,100.0,63.49,11
French Bean(Local),1,Baisakh,kg,15.0,110.0,48.4,31
French Bean(Local),2,Jestha,kg,30.0,80.0,57.1,32
French Bean(Local),3,Asar,kg,20.0,130.0,82.06,31
French Bean(Local),4,Shrawan,kg,25.0,90.0,46.13,32
French Bean(Local),5,Bhadra,kg,40.0,130.0,81.82,31
French Bean(Local),6,Ashwin,kg,40.0,90.0,62.36,11
